month,category,revenue
2017-06,market_place,1258.95
2017-06,music,1066.9
2017-06,musical_instruments,4993.05
2017-06,office_furniture,7279.13
2017-06,party_supplies,
2017-06,pc_gamer,129.99
2017-06,perfumery,24438.1
2017-06,pet_shop,5243.57
2017-06,portateis_cozinha_e_preparadores_de_alimentos,
2017-06,security_and_services,
2017-06,signaling_and_security,273.9
2017-06,small_appliances,9698.81
2017-06,small_appliances_home_oven_and_coffee,71.9
2017-06,sports_leisure,32898.33
2017-06,stationery,3493.57
2017-06,tablets_printing_image,594.0
2017-06,telephony,6757.62
2017-06,toys,15476.35
2017-06,watches_gifts,28948.63
2017-07,Unknown,3124.66
2017-07,agro_industry_and_commerce,1180.0
2017-07,air_conditioning,1396.1
2017-07,art,386.75
2017-07,arts_and_craftmanship,129.9
2017-07,audio,771.69
2017-07,auto,14119.74
2017-07,baby,15941.11
2017-07,bed_bath_table,63888.75
2017-07,books_general_interest,1292.4
2017-07,books_imported,
2017-07,books_technical,528.0
2017-07,cds_dvds_musicals,225.0
2017-07,christmas_supplies,65.09
2017-07,cine_photo,
2017-07,computers,
2017-07,computers_accessories,38709.0
2017-07,consoles_games,5680.16
2017-07,construction_tools_construction,549.44
2017-07,construction_tools_lights,360.0
2017-07,construction_tools_safety,
2017-07,cool_stuff,37506.76
2017-07,costruction_tools_garden,347.58
2017-07,costruction_tools_tools,
2017-07,diapers_and_hygiene,
2017-07,drinks,273.97
2017-07,dvds_blu_ray,749.7
2017-07,electronics,7346.84
2017-07,fashio_female_clothing,310.7
2017-07,fashion_bags_accessories,5193.1
2017-07,fashion_childrens_clothes,
2017-07,fashion_male_clothing,719.99
2017-07,fashion_shoes,1423.01
2017-07,fashion_sport,69.9
2017-07,fashion_underwear_beach,274.8
2017-07,fixed_telephony,218.73
2017-07,flowers,
2017-07,food,584.16
2017-07,food_drink,168.2
2017-07,furniture_bedroom,1206.99
2017-07,furniture_decor,24751.92
2017-07,furniture_living_room,4395.12
2017-07,furniture_mattress_and_upholstery,109.4
2017-07,garden_tools,20067.05
2017-07,health_beauty,34896.86
2017-07,home_appliances,3671.99
2017-07,home_appliances_2,1033.99
2017-07,home_comfort_2,12.9
2017-07,home_confort,4563.85
2017-07,home_construction,93.6
2017-07,housewares,20874.3
2017-07,industry_commerce_and_business,245.96
2017-07,kitchen_dining_laundry_garden_furniture,1316.5
2017-07,la_cuisine,469.99
2017-07,luggage_accessories,8357.61
2017-07,market_place,1573.38
2017-07,music,329.0
2017-07,musical_instruments,8411.59
2017-07,office_furniture,16892.61
2017-07,party_supplies,69.9
